,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle,result
175,2825951.97,1839134.81,308008.27,1016075.34,1719573.79,1779667.29,16052.08,-61257.56,-0.3,-27360.71,-111460.14,145657.83,6836.98,-8.52,-2.17,11.25,-3.56,1.86,-1.37,1.26,0.58,1.91,0.61,1.88,194.45,2.91,125.28,5.95,61.33,258.41,1
288,1085140.26,331029.28,315391.51,752191.24,778871.73,717218.57,109153.74,64206.17,0.14,137760.14,-22387.91,-62316.52,53055.7,6.23,5.98,23.82,8.24,0.44,9.41,1.42,0.9,1.35,0.73,4.9,74.56,6.91,52.83,9.65,37.83,89.56,0
344,461886.47,254882.21,167860.22,195320.36,449489.68,429137.66,39907.51,20352.02,0.02,40664.53,-26887.6,-11523.64,2253.29,7.67,4.59,34.37,4.53,1.23,2.32,1.04,0.62,3.05,1.01,3.32,109.89,3.69,98.94,4.9,74.55,134.28,0
152,673863.11,302957.95,284000.0,370905.16,436396.8,423674.13,37772.41,7256.7,0.0,13402.3,-80285.12,65664.82,-1217.99,0.36,1.15,26.28,1.66,0.82,1.48,0.86,0.63,0.95,0.69,7.68,47.55,3.57,102.22,3.95,92.36,57.4,0
201,1243683.4,598335.55,300000.0,645347.85,1376895.88,1284245.74,144615.69,96176.49,0.12,119576.9,-33340.61,-106636.8,-20400.51,11.36,7.7,19.53,6.99,0.93,9.23,1.46,0.84,2.58,1.1,3.95,92.43,3.62,100.9,4.49,81.21,112.12,0
35,1703415.96,869493.35,680000.0,833922.61,770495.07,716236.29,151271.42,54258.79,0.01,116698.07,-38171.23,-25957.52,52569.32,2.31,3.07,49.06,7.04,1.04,1.64,1.2,0.85,0.59,0.44,3.35,108.82,5.41,67.41,2.34,156.3,19.93,0
272,523219.64,332753.88,120000.0,190465.76,733460.05,725947.42,29206.88,7891.05,-0.01,1163.15,-13887.37,7207.85,-5516.37,-1.81,1.57,21.96,1.08,1.75,0.7,1.18,0.38,14.05,1.46,2.62,139.28,7.87,46.36,7.18,50.81,134.83,1
321,486732.32,148015.96,230000.0,338716.16,561078.14,537222.24,38416.11,23855.9,0.05,-37972.04,-7204.7,48623.05,3446.32,6.16,5.25,20.37,4.25,0.44,16.02,3.3,1.92,4.16,1.23,6.27,58.21,8.17,44.66,5.22,69.95,32.93,0
198,2018347.66,1078479.15,235000.0,939868.52,2090656.74,1909745.12,220316.99,125430.8,0.34,199126.55,-118689.86,-83544.9,-3108.2,8.99,6.77,10.96,6.0,1.15,6.18,0.97,0.76,2.5,1.13,15.11,24.15,5.24,69.65,6.85,53.25,40.55,0
187,1882096.41,944269.02,538995.23,937827.39,729489.33,667368.81,178574.69,62120.52,0.02,201864.13,-23134.75,-163549.23,15180.15,2.55,3.24,15.88,8.52,1.01,1.76,1.63,1.1,0.48,0.38,25.19,14.49,8.82,41.36,9.72,37.56,18.29,0
98,833311.99,166296.3,200000.0,562831.32,1062351.09,951363.7,132203.02,110012.26,0.21,115049.98,-50173.12,-86555.6,-21678.74,14.9,13.03,26.41,10.36,0.25,40.62,4.46,2.95,6.42,1.26,4.81,75.88,5.16,70.72,13.39,27.25,119.35,0
513,423983.56,244151.09,167860.22,179995.25,394248.06,395425.38,15825.64,-1177.32,-0.01,53284.03,-44403.54,-5603.41,3277.08,-4.52,-0.28,33.35,-0.3,1.36,-0.12,1.08,0.61,3.04,0.94,2.6,140.6,3.25,112.21,4.71,77.5,175.3,1
179,675633.98,74021.67,200007.52,600229.09,313101.76,320860.79,6529.96,-7759.03,-0.01,2693.26,33624.67,-26212.36,10105.58,-1.61,-1.09,25.83,-2.48,0.12,-6.69,3.9,3.32,0.81,0.44,6.3,57.91,6.21,58.81,5.76,63.42,53.3,1
342,736371.22,263986.2,153999.99,447539.37,631621.66,566944.55,74181.64,59636.93,0.13,23338.72,75939.12,-77880.95,21396.89,9.19,7.87,39.17,9.44,0.56,7.83,2.35,1.51,5.47,0.83,2.46,148.3,3.08,118.68,5.19,70.27,196.72,0
40,1414473.17,583086.78,588964.62,830703.87,1256220.35,1183996.46,146038.99,72223.88,0.1,132984.92,-123887.19,1314.09,10411.82,7.3,5.17,19.0,5.75,0.7,8.75,1.29,0.56,1.68,0.9,3.05,119.48,4.92,74.19,5.23,69.8,123.87,0
232,1169626.38,395954.2,588964.62,772687.93,995119.31,936153.52,128327.13,58965.79,0.09,211441.65,-34192.86,-170927.61,6321.19,7.35,4.85,21.64,5.93,0.51,7.28,1.25,0.67,1.43,0.82,3.42,106.75,4.42,82.58,5.2,70.13,119.21,0
337,2516167.0,1483468.0,411864.0,976427.0,1936081.0,1990144.0,100679.0,-29168.0,-0.13,259012.0,-266418.0,-58765.0,-66171.0,-5.44,-1.18,11.2,-1.51,1.44,-0.82,0.78,0.3,3.58,0.79,3.82,95.55,4.94,73.85,4.27,85.39,84.01,1
366,1181145.09,561896.44,100000.0,619248.65,1698267.33,1576128.54,160572.95,122138.8,0.21,155485.73,-19262.45,-129736.93,6486.35,13.72,10.51,23.53,7.19,0.91,12.71,1.54,0.84,4.92,1.46,4.46,81.88,5.31,68.72,5.19,70.35,80.24,0
145,746644.0,141729.0,520783.0,604915.0,572287.0,521126.0,96919.0,51161.0,0.04,84648.0,-81127.0,-48086.0,-44565.0,6.43,6.97,18.52,8.94,0.23,26.54,2.83,1.91,1.28,0.78,12.41,29.41,5.49,66.46,6.07,60.14,35.73,0
113,638818.65,285253.81,202500.23,354867.48,1003336.0,931595.83,79678.36,71472.9,0.27,27419.14,-16039.6,-16495.15,-5115.61,15.34,11.21,25.76,7.12,0.81,25.35,1.88,0.85,10.48,1.57,3.18,114.86,6.05,60.37,5.09,71.68,103.56,0
453,1177593.39,672415.59,191895.14,505177.81,1440184.15,1389316.87,126350.32,67499.34,0.27,137196.31,-75469.97,-47072.52,14653.81,9.89,5.82,10.47,4.69,1.33,6.34,0.91,0.57,2.55,1.24,6.67,54.7,4.84,75.39,7.26,50.28,79.81,0
473,1601975.98,740776.46,211000.05,859232.22,1667354.67,1654045.99,86544.41,28288.5,0.02,221143.46,-41491.39,-175009.75,4642.32,1.15,1.68,12.02,1.7,0.86,1.41,1.4,0.53,3.26,0.99,2.2,165.69,5.19,70.39,10.12,36.08,200.0,0
142,1684173.79,430659.48,648564.61,1015609.55,928364.88,813965.86,244158.29,115342.93,0.11,194625.58,-78116.4,13147.83,129657.02,6.37,6.7,34.61,12.42,0.34,7.42,2.8,1.6,1.52,0.54,5.94,61.49,5.23,69.82,4.79,76.17,55.14,0
42,686715.56,232815.77,159994.57,453899.79,433977.91,341373.23,126516.38,92604.68,0.42,150698.87,-116546.26,-52188.17,-18035.56,16.13,14.3,39.0,21.34,0.51,12.26,1.18,0.99,0.99,0.67,11.46,31.86,10.64,34.31,7.31,49.9,16.27,0
511,779970.89,333464.34,153999.99,446506.55,689679.19,614733.59,89731.84,82119.11,0.2,154200.25,-54246.23,-28910.94,71043.08,14.17,10.89,39.34,11.91,0.75,13.17,1.84,1.27,6.74,0.91,2.31,157.75,3.09,117.96,4.72,77.26,198.44,0
247,736903.26,423151.8,282571.48,307727.55,561427.43,566578.66,33991.46,-5151.23,-0.16,99976.84,-48236.25,13978.53,65719.11,-26.43,-0.68,26.18,-0.92,1.35,-0.56,1.16,0.68,1.95,0.74,2.68,135.97,3.0,121.8,2.37,153.92,103.85,1
81,778049.25,383387.59,278000.0,394661.66,476036.44,517514.83,1135.55,-20643.07,-0.1,17551.66,-13408.41,-18466.78,-14323.53,-8.92,-2.85,16.24,-4.34,0.97,-2.7,0.96,0.5,1.39,0.66,2.86,127.6,2.5,146.06,3.89,93.8,179.85,1
410,1260302.5,518477.97,588964.62,741824.53,1058565.9,1019437.92,98285.52,39127.98,0.05,94264.73,-43346.2,-48376.74,2541.79,3.78,3.05,17.96,3.7,0.7,2.92,1.09,0.51,1.47,0.83,3.2,114.2,4.5,81.05,5.02,72.68,122.56,0
